"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Стоимость товара должна совпадать с ожидаемой ценой.","537","Стоимость товара должна совпадать с ожидаемой ценой.","Sauce Demo SmokeTest","Fri Dec 13 13:10:58 GMT 2024","passed","Fri Dec 13 13:10:59 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","checkItemPricesInCart"
"Проверяет, что товары сортируются по имени от Z до A.","617","Проверяет, что товары сортируются по имени от Z до A.","Sauce Demo SmokeTest","Fri Dec 13 13:10:59 GMT 2024","passed","Fri Dec 13 13:11:00 GMT 2024","tests.ProductTest","Thread#2","tests.ProductTest","checkProductSortByNameZtoA"
"Проверка негативного входа в систему: негативный username, негативный password, некорректное значение password.","575","Проверка негативного логина","Sauce Demo SmokeTest","Fri Dec 13 13:10:53 GMT 2024","passed","Fri Dec 13 13:10:53 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","checkLoginWithInvalidData"
"","2005","locatorTest","Sauce Demo SmokeTest","Fri Dec 13 13:10:51 GMT 2024","passed","Fri Dec 13 13:10:53 GMT 2024","tests.LocatorTest","Thread#2","tests.LocatorTest","locatorTest"
"Проверяет, что товары могут быть добавлены и затем удалены из корзины.","10711","Проверяет, что товары могут быть добавлены и затем удалены из корзины.","Sauce Demo SmokeTest","Fri Dec 13 13:11:12 GMT 2024","passed","Fri Dec 13 13:11:23 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","addAndRemoveMultipleItems"
"Проверка негативного входа в систему: негативный username, негативный password, некорректное значение password.","465","Проверка негативного логина","Sauce Demo SmokeTest","Fri Dec 13 13:10:55 GMT 2024","passed","Fri Dec 13 13:10:55 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","checkLoginWithInvalidData"
"Проверяет, что кнопка 'Continue Shopping' возвращает пользователя на страницу товаров.","611","Проверяет, что кнопка 'Continue Shopping' возвращает пользователя на страницу товаров.","Sauce Demo SmokeTest","Fri Dec 13 13:11:24 GMT 2024","passed","Fri Dec 13 13:11:25 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","continueShopping"
"Проверяет, что товары сортируются по имени от A до Z.","634","Проверяет, что товары сортируются по имени от A до Z.","Sauce Demo SmokeTest","Fri Dec 13 13:10:57 GMT 2024","passed","Fri Dec 13 13:10:58 GMT 2024","tests.ProductTest","Thread#2","tests.ProductTest","checkProductSortByNameAtoZ"
"Проверяет, что товары сортируются по цене от высокой к низкой.","599","Проверяет, что товары сортируются по цене от высокой к низкой.","Sauce Demo SmokeTest","Fri Dec 13 13:11:23 GMT 2024","passed","Fri Dec 13 13:11:24 GMT 2024","tests.ProductTest","Thread#2","tests.ProductTest","checkSortByPriceHighToLow"
"Проверка позитивного добавления товара в корзину.","773","Проверка позитивного добавления товара в корзину.","Sauce Demo SmokeTest","Fri Dec 13 13:10:53 GMT 2024","passed","Fri Dec 13 13:10:54 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","addItemToCart"
"Проверка позитивного добавления нескольких товаров в корзину","617","Проверка позитивного добавления товаров в корзину","Sauce Demo SmokeTest","Fri Dec 13 13:10:56 GMT 2024","passed","Fri Dec 13 13:10:57 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","addMultipleItemsToCart"
"Проверяет, что товары сортируются по цене от низкой к высокой.","676","Проверяет, что товары сортируются по цене от низкой к высокой.","Sauce Demo SmokeTest","Fri Dec 13 13:11:11 GMT 2024","passed","Fri Dec 13 13:11:12 GMT 2024","tests.ProductTest","Thread#2","tests.ProductTest","checkSortByPriceLowToHigh"
"Проверка негативного входа в систему: негативный username, негативный password, некорректное значение password.","559","Проверка негативного логина","Sauce Demo SmokeTest","Fri Dec 13 13:10:54 GMT 2024","passed","Fri Dec 13 13:10:54 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","checkLoginWithInvalidData"
"Проверка входа в систему интернет магазина юзера с позитивными кредами.","1819","Проверка позитивного логина","Sauce Demo SmokeTest","Fri Dec 13 13:10:51 GMT 2024","passed","Fri Dec 13 13:10:52 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","checkLogin"
"Проверяет, что пользователь может выйти через меню бургера.","1316","Проверяет, что пользователь может выйти через меню бургера.","Sauce Demo SmokeTest","Fri Dec 13 13:10:54 GMT 2024","passed","Fri Dec 13 13:10:56 GMT 2024","tests.ProductTest","Thread#2","tests.ProductTest","checkLogoutFromBurgerMenu"
"Проверка удаления товара из корзины.","10607","Товар должен удаляться из корзины","Sauce Demo SmokeTest","Fri Dec 13 13:11:00 GMT 2024","passed","Fri Dec 13 13:11:11 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","removeItemFromCart"
